,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD,dc,cc,bc,pg,er,gc,gcd,iFit,ggc,ggcd,cr
360,16371,Contents (16371),Method,4,0,1,3,0,0,0,0,1,3,24.0,9,10,35,40,61.74860596185444,318.5945635082689,0.054911783325534674,0.011980882497802398,0.017533360016437433,0.0,1.0175333600164373,0.017533360016437433,0.0007535795026375283,0.0,0.0,0.000500876522866856,0.0,14.0,0.0,0.0,14.0,0.0,0.0006348400203148807
361,16673,NumTableFilesAtLevel (16673),Method,2,0,1,1,0,0,0,0,1,1,7.0,4,4,7,6,16.0,39.0,0.0329470699953208,0.011980882497802398,0.010520016009862458,0.0,1.0105200160098624,0.010520016009862458,0.0007535795026375283,0.0,0.0,0.000500876522866856,0.0,14.0,0.0,0.0,14.0,0.0,0.0006348400203148807
362,16797,CountFiles (16797),Method,3,0,2,1,0,0,0,0,2,1,5.0,6,4,8,7,23.509775004326936,49.82892142331043,0.043929426660427734,0.023961764995604797,0.010606090163972109,0.0,1.0106060901639722,0.010606090163972109,0.0015071590052750565,0.0,0.0,0.000500876522866856,0.0,22.0,0.0,0.0,22.0,0.0,0.0025393600812595226
363,16824,Size (16824),Method,2,0,1,1,0,0,0,0,1,1,6.0,2,5,3,6,13.60964047443681,25.26619429851844,0.0329470699953208,0.011980882497802398,0.010520016009862458,0.0,1.0105200160098624,0.010520016009862458,0.0007535795026375283,0.0,0.0,0.000500876522866856,0.0,14.0,0.0,0.0,14.0,0.0,0.0006348400203148807
364,16846,Compact (16846),Method,2,0,1,1,0,0,0,0,1,1,3.0,2,3,3,3,6.754887502163468,13.931568569324174,0.0329470699953208,0.011980882497802398,0.010520016009862458,0.0,1.0105200160098624,0.010520016009862458,0.0007535795026375283,0.0,0.0,0.000500876522866856,0.0,14.0,0.0,0.0,14.0,0.0,0.0006348400203148807
365,16948,DumpSSTableList (16948),Method,2,0,1,1,0,0,0,0,1,1,5.0,2,2,2,3,4.0,10.0,0.0329470699953208,0.011980882497802398,0.010520016009862458,0.0,1.0105200160098624,0.010520016009862458,0.0007535795026375283,0.0,0.0,0.000500876522866856,0.0,14.0,0.0,0.0,14.0,0.0,0.0006348400203148807
366,17000,DeleteAnSSTFile (17000),Method,8,0,4,4,0,0,0,0,4,3,13.0,9,10,21,22,61.74860596185444,182.66088307807416,0.09884120998596241,0.023961764995604797,0.023863702868937242,0.0,1.0238637028689372,0.023863702868937242,0.0015071590052750565,0.0,0.0,0.000500876522866856,0.0,22.0,0.0,0.0,22.0,0.0,0.005078720162519045
367,17088,RenameLDBToSST (17088),Method,9,0,5,4,0,0,0,0,5,3,16.0,10,13,25,31,81.32499728470782,253.31946953919274,0.10982356665106935,0.023961764995604797,0.026515225409930274,0.0,1.0265152254099303,0.026515225409930274,0.0015071590052750565,0.0,0.0,0.000500876522866856,0.0,22.0,0.0,0.0,22.0,0.0,0.006348400203148806
368,27495,MTThreadBody (27495),Method,9,0,5,4,1,0,0,0,5,3,44.0,10,13,35,39,81.32499728470782,334.74358474821895,0.10982356665106935,0.023961764995604797,0.0048683980158833184,0.0,1.0048683980158832,0.0048683980158833184,0.0015071590052750565,0.0,0.0,0.000500876522866856,0.0,4.0,0.0,0.0,4.0,0.0,0.008041306923988488
369,27494,id (27494),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.010982356665106933,0.015196803589317779,0.0,0.001668967171874651,1.0016689671718746,0.001668967171874651,0.0007535795026375283,0.0007535795026375283,0.0,0.0005680318919072263,4.415660877244629e-05,0.0,2.0,1.1679752284280635e-15,0.0,2.0,0.0017140680548501776
370,27493,state (27493),Member,1,4,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.010982356665106933,0.0291324616525511,0.0,0.0031994308440086673,1.0031994308440086,0.0031994308440086673,0.0007535795026375283,0.0007535795026375283,0.0,0.0008590384910821645,0.0002355019134530468,0.0,2.0,6.229201218283006e-15,0.0,2.0,0.009141696292534281
371,27995,Get (27995),Method,2,0,1,1,0,1,0,0,0,1,5.0,1,2,1,2,2.0,4.754887502163468,0.054911783325534674,0.011980882497802398,0.007015893341591153,0.0,1.0070158933415911,0.007015893341591153,0.0007535795026375283,0.0,0.0,0.000500876522866856,0.0,5.5,0.0,0.0,5.5,0.0,0.0005290333502624006
372,66617,NotFound (66617),Method,2,5,1,1,0,0,0,0,1,1,3.0,0,3,0,3,4.754887502163468,4.754887502163468,0.0329470699953208,0.09833422538940265,0.003878845592457563,0.08112010271583134,1.0853136006611679,0.0849989483082889,0.0037678975131876413,0.003014318010550113,2.2732413352564954e-06,0.0011353513075805625,0.0002722990874300854,10.0,110.0,1.1436856695109394e-12,10.0,110.0,0.04864990689013036
373,28010,NewIterator (28010),Method,4,0,2,2,1,0,0,0,2,2,11.0,5,6,7,8,27.11941547876375,51.89147427955946,0.054911783325534674,0.023961764995604797,0.016339099955192834,0.0,1.016339099955193,0.016339099955192834,0.0015071590052750565,0.0,0.0,0.000500876522866856,0.0,26.0,0.0,0.0,26.0,0.0,0.004232266802099205
