,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD
1038,137750,_register_blob (137750),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1039,137754,_register_block_list (137754),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1040,137758,_register_buffer (137758),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1041,137762,_register_builtins (137762),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1042,137766,_register_cares_wrap (137766),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1043,137770,_register_config (137770),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1044,137774,_register_contextify (137774),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1045,137778,_register_credentials (137778),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1046,137782,_register_encoding_binding (137782),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1047,137786,_register_errors (137786),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1048,137790,_register_fs (137790),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
1049,137794,_register_fs_dir (137794),Method,1,1,0,1,0,0,0,0,0,1,1.0,0,0,0,0,0.0,0.0,0.017543859649122806,0.026835998477074356,0.0,0.026835998477074356,1.0268359984770743,0.026835998477074356
