,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD,dc,cc,bc,pg,er,gc,gcd,iFit,ggc,ggcd,cr
720,247747,GetReflection (247747),Method,2,0,1,1,0,0,1,0,0,1,3.0,1,0,2,0,0.0,0.0,0.017857142857142856,0.007613247049866773,0.0010679490796128125,0.0,1.0010679490796128,0.0010679490796128125,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,3.25,0.0,0.0,3.25,0.0,2.9239766081871346e-05
721,313287,Finish (313287),Method,3,0,2,1,0,0,0,0,2,1,5.0,4,6,6,8,23.509775004326936,46.50699332842307,0.014285714285714285,0.015226494099733546,0.0010060362173038235,0.0,1.0010060362173039,0.0010060362173038235,0.00041727519298977677,0.0,0.0,0.0001350582352349398,0.0,10.0,0.0,0.0,10.0,0.0,0.00035087719298245617
722,427981,setInputSize (427981),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,2,1,2,2.0,4.754887502163468,0.010714285714285714,0.007613247049866773,0.0006588177714938282,0.0,1.000658817771494,0.0006588177714938282,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,4.0,0.0,0.0,4.0,0.0,8.771929824561404e-05
723,247765,internal_default_instance (247765),Method,1,1,0,1,0,0,0,0,0,1,4.0,2,1,2,1,2.0,4.754887502163468,0.0035714285714285713,0.0482042253521127,0.0,0.0010807693382517331,1.0010807693382517,0.0010807693382517331,0.00020863759649488838,0.00041727519298977677,0.0,0.0005286262073895573,1.8568922487069123e-05,0.0,3.861111111111111,8.408853771611052e-18,0.0,3.861111111111111,0.0003765095029239766
724,427989,setInputMean (427989),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,2,1,2,2.0,4.754887502163468,0.010714285714285714,0.007613247049866773,0.00041193104573386286,0.0,1.0004119310457338,0.00041193104573386286,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,3.0,0.0,0.0,3.0,0.0,8.771929824561404e-05
725,427997,setInputScale (427997),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,2,1,2,2.0,4.754887502163468,0.010714285714285714,0.007613247049866773,0.00041193104573386286,0.0,1.0004119310457338,0.00041193104573386286,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,3.0,0.0,0.0,3.0,0.0,8.771929824561404e-05
726,83935,SetCachedSize (83935),Method,2,0,1,1,0,0,0,0,1,1,3.0,1,2,1,2,2.0,4.754887502163468,0.010714285714285714,0.007613247049866773,0.00045271629778672056,0.0,1.0004527162977868,0.00045271629778672056,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,3.0,0.0,0.0,3.0,0.0,8.771929824561404e-05
727,428005,setInputCrop (428005),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,2,1,2,2.0,4.754887502163468,0.010714285714285714,0.007613247049866773,0.00044999728098319667,0.0,1.0004499972809833,0.00044999728098319667,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,3.0,0.0,0.0,3.0,0.0,8.771929824561404e-05
728,149479,descriptor (149479),Method,2,0,1,1,0,0,1,0,0,1,3.0,0,0,0,0,0.0,0.0,0.025,0.007613247049866773,0.0009748075540329067,0.0,1.000974807554033,0.0009748075540329067,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,2.861111111111111,0.0,0.0,2.861111111111111,0.0,2.9239766081871346e-05
729,149485,GetDescriptor (149485),Method,2,1,1,1,0,0,1,0,0,1,3.0,1,0,2,0,0.0,0.0,0.017857142857142856,0.0216977540921203,0.0010679490796128125,0.0005424438523030076,1.0016109722343285,0.00161039293191582,0.00041727519298977677,0.00020863759649488838,8.707746097449431e-08,0.0002502341863895639,5.425543458603104e-06,6.5,2.0,2.037298771751945e-19,6.5,2.0,0.00014181286549707603
730,83945,Clear (83945),Method,6,0,4,2,0,0,0,0,4,2,14.0,5,5,9,9,23.21928094887362,59.79470570797252,0.025,0.02283974114960032,0.005714762711435814,0.0,1.0057147627114358,0.005714762711435814,0.0006259127894846651,0.0,0.0,0.0001350582352349398,0.0,45.0,0.0,0.0,45.0,0.0,0.0010526315789473684
731,149352,_has_bits_ (149352),Member,1,9,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0035714285714285713,0.09279794430288146,0.0,0.04987533910556613,1.0498753391055662,0.04987533910556613,0.0012518255789693302,0.0013352806175672858,0.0,0.00046239447232292657,0.00015417585994863823,0.0,265.5,6.389945084959207e-14,0.0,265.42687174356104,0.008954739278752438
732,346090,operator int (346090),Method,2,0,1,1,0,0,0,0,1,1,1.0,0,1,0,1,0.0,0.0,0.010714285714285714,0.007613247049866773,0.00015090543259557355,0.0,1.0001509054325957,0.00015090543259557355,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,1.0,0.0,0.0,1.0,0.0,8.771929824561404e-05
733,346084,val_ (346084),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0035714285714285713,0.014084507042253532,0.0,0.00015090543259557355,1.0001509054325957,0.00015090543259557355,0.00020863759649488838,0.00020863759649488838,0.0,0.0002502341863895639,1.6276630375809313e-05,0.0,1.0,6.994025680344306e-19,0.0,1.0,0.000162280701754386
734,149507,default_instance (149507),Method,2,2,1,1,0,0,1,0,0,1,3.0,1,0,1,0,0.0,0.0,0.010714285714285714,0.047754092120289325,0.0005164738430583504,0.0020039663657621413,1.0025214752050307,0.002520440208820492,0.0006259127894846651,0.0004694345921134988,1.3061619146174147e-07,0.0004625416292678775,1.5462798857018847e-05,3.0,9.75,3.580279551312468e-18,3.0,9.75,0.00040855263157894736
735,428013,setInputSwapRB (428013),Method,2,0,1,1,0,0,0,0,1,1,4.0,1,2,1,2,2.0,4.754887502163468,0.010714285714285714,0.007613247049866773,0.00041193104573386286,0.0,1.0004119310457338,0.00041193104573386286,0.00020863759649488838,0.0,0.0,0.0001350582352349398,0.0,3.0,0.0,0.0,3.0,0.0,8.771929824561404e-05
