,id,label,node_type,weight,fan_in,fan_out,sscc,con_cf,con_df,con_zc,con_rf,con_val,McCabe,LOC,n1,n2,N1,N2,H,V,AFO,AFP,VRI,DRI,VMulD,VPlusD,dc,cc,bc,pg,er,cr,gc,ggc,gcd,ggcd,iFit
1516,93627,ngx_ssl_get_client_v_end (93627),Method,11,0,7,4,1,2,0,0,6,4,43.0,3,10,17,33,37.974168451037094,185.0219859070546,0.05074605563897277,0.013437125524261186,0.1732198790763618,0.0,1.1732198790763617,0.1732198790763618,0.0023995200959808036,0.0,0.0,0.0004314185559808697,0.0,0.0005824118174046062,1466.6666666666667,1456.829580414161,0.0,0.0,0.0
1517,23996,ngx_list_create (23996),Method,5,0,2,3,1,2,0,0,2,3,16.0,4,7,4,13,27.651484454403228,58.81033751683405,0.040707938449875775,0.006718562762130593,0.057436561759038725,0.0,1.0574365617590387,0.057436561759038725,0.0011997600479904018,0.0,0.0,0.0004314185559808697,0.0,0.00016178106039016843,121.44444444444444,43.6002889321672,0.0,0.0,0.0
1518,97727,ngx_event_find_timer (97727),Method,6,0,4,2,2,0,0,0,4,2,19.0,8,8,13,15,48.0,112.0,0.019014402694594628,0.006718562762130593,0.0008023657392150744,0.0,1.000802365739215,0.0008023657392150744,0.0011997600479904018,0.0,0.0,0.0004314185559808697,0.0,0.00021570808052022452,12.0,12.0,0.0,0.0,0.0
1519,7617,ngx_conf_set_off_slot (7617),Method,6,0,2,4,0,1,0,0,2,4,29.0,9,10,21,21,61.74860596185444,178.41295556463058,0.03707560583365032,0.006718562762130593,0.020360088130032594,0.0,1.0203600881300325,0.020360088130032594,0.0011997600479904018,0.0,0.0,0.0004314185559808697,0.0,9.167593422109541e-05,140.0,139.27030903962674,0.0,0.0,0.0
1520,85447,ngx_ssl_create (85447),Method,12,0,5,7,2,3,0,0,2,7,137.0,5,18,25,38,86.66829050039843,284.98440323159184,0.09743738702929135,0.010077844143195888,0.08982009128012808,0.0,1.0898200912801281,0.08982009128012808,0.0017996400719856027,0.0,0.0,0.0004314185559808697,0.0,0.00034782927983886206,276.5,274.9653645210293,0.0,0.0,0.0
1521,64973,ngx_utf8_length (64973),Method,7,0,1,6,1,1,0,0,1,5,25.0,8,5,11,15,35.60964047443681,96.21143267166839,0.038028805389189256,0.0033592813810652965,0.00047267299418581857,0.0,1.0004726729941857,0.00047267299418581857,0.0005998800239952009,0.0,0.0,0.0004314185559808697,0.0,5.123066912355333e-05,2.0,2.0,0.0,0.0,0.0
1522,64857,ngx_utf8_decode (64857),Method,7,2,0,7,0,0,0,0,0,6,55.0,11,6,21,20,53.5635228093372,167.5859764912639,0.019014402694594628,0.012429341109941597,0.0,0.0011479201287369878,1.001147920128737,0.0011479201287369878,0.0011997600479904018,0.0011997600479904018,0.0,0.0011642205320308852,0.00012006319115323856,0.000292014814004254,0.0,0.0,4.0,4.0,2.926675240733033e-16
1523,204243,ngx_http_range_header_filter (204243),Method,44,0,22,22,11,8,0,0,19,21,120.0,17,19,129,88,150.19749105668387,1121.8737253129818,0.13274884876674467,0.04702993933491415,0.41756996868867996,0.0,1.41756996868868,0.41756996868867996,0.008398320335932814,0.0,0.0,0.0004314185559808697,0.0,0.009135237210031509,4703.222222222223,4664.193608705274,0.0,0.0,0.0
1524,36463,ngx_parse_http_time (36463),Method,52,1,0,52,0,0,0,0,0,46,264.0,21,16,328,173,156.23866587835397,2609.936136180104,0.14124984858841722,0.005176347219005162,0.0,0.0006871541341398756,1.0006871541341398,0.0006871541341398756,0.0005998800239952009,0.0005998800239952009,0.0,0.00044807314634564275,3.4755134281200636e-05,0.0003826122078227483,0.0,0.0,14.0,14.0,3.418914793322979e-14
1525,204127,ngx_http_range_filter_ctx_t (204127),Local,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.004350408201759768,0.0,0.0005775116804490131,1.000577511680449,0.0005775116804490131,0.0005998800239952009,0.0005998800239952009,0.0,0.00044050287799801864,1.8957345971563984e-05,0.00020869756790331724,0.0,0.0,14.0,14.0,1.8648626145398064e-14
1526,204124,offset (204124),Member,1,1,0,1,0,0,0,0,0,1,0.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.004350408201759768,0.0,0.0005775116804490131,1.000577511680449,0.0005775116804490131,0.0005998800239952009,0.0005998800239952009,0.0,0.00044050287799801864,1.8957345971563984e-05,0.00020869756790331724,0.0,0.0,14.0,14.0,1.8648626145398064e-14
1527,204128,ngx_http_range_parse (204128),Method,1,1,0,1,0,0,0,0,0,1,141.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.00649784964659779,0.0,0.0008625820600452553,1.0008625820600452,0.0008625820600452553,0.0005998800239952009,0.0005998800239952009,0.0,0.0004601855757018414,6.003159557661928e-05,0.0006608756316938378,0.0,0.0,14.0,14.0,5.905398279376053e-14
1528,204135,ngx_http_range_singlepart_header (204135),Method,1,1,0,1,0,0,0,0,0,1,49.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.00418522039831069,0.0,0.0005555831897108407,1.0005555831897108,0.0005555831897108407,0.0005998800239952009,0.0005998800239952009,0.0,0.00043898882432849383,1.5797788309636655e-05,0.000173914639919431,0.0,0.0,14.0,14.0,1.554052178783172e-14
1529,204141,ngx_http_range_multipart_header (204141),Method,1,1,0,1,0,0,0,0,0,1,123.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.00418522039831069,0.0,0.0005555831897108407,1.0005555831897108,0.0005555831897108407,0.0005998800239952009,0.0005998800239952009,0.0,0.00043898882432849383,1.5797788309636655e-05,0.000173914639919431,0.0,0.0,14.0,14.0,1.554052178783172e-14
1530,204147,ngx_http_range_not_satisfiable (204147),Method,1,1,0,1,0,0,0,0,0,1,34.0,0,0,0,0,0.0,0.0,0.0027163432420849467,0.00418522039831069,0.0,0.0005555831897108407,1.0005555831897108,0.0005555831897108407,0.0005998800239952009,0.0005998800239952009,0.0,0.00043898882432849383,1.5797788309636655e-05,0.000173914639919431,0.0,0.0,14.0,14.0,1.554052178783172e-14
