,"('Nginx-1.22.1', 'id')","('Nginx-1.22.1', 'val')","('Nginx-1.22.1', 'label')","('Nginx-1.21.1', 'id')","('Nginx-1.21.1', 'val')","('Nginx-1.21.1', 'label')","('Nginx-1.20.0', 'id')","('Nginx-1.20.0', 'val')","('Nginx-1.20.0', 'label')","('Nginx-1.19.0', 'id')","('Nginx-1.19.0', 'val')","('Nginx-1.19.0', 'label')"
34,332422,1.24,request,61474,1.24,ngx_snprintf,61476,1.24,ngx_snprintf,62228,1.2,ngx_strncasecmp
35,80254,1.22,ngx_handle_read_event,80071,1.22,ngx_handle_read_event,80073,1.24,ngx_handle_read_event,413605,1.19,ngx_write_console
36,424075,1.21,ngx_write_console,421213,1.22,ngx_write_console,420591,1.22,ngx_write_console,89696,1.18,ngx_ssl_error
37,11812,1.21,ngx_init_cycle,11817,1.21,ngx_init_cycle,11805,1.21,ngx_init_cycle,18704,1.18,ngx_hash_find
38,62851,1.2,ngx_strncasecmp,62669,1.21,ngx_strncasecmp,62671,1.21,ngx_strncasecmp,3451,1.09,pool
39,383883,1.19,buffer,381021,1.19,buffer,18928,1.19,ngx_hash_find,6624,1.09,ngx_conf_full_name
40,18935,1.18,ngx_hash_find,18940,1.19,ngx_hash_find,380544,1.12,buffer,375398,1.09,buffer
41,6696,1.12,ngx_conf_full_name,6701,1.12,ngx_conf_full_name,3528,1.1,pool,257680,1.08,ngx_http_finalize_request
42,3528,1.1,pool,3528,1.1,pool,6701,1.1,ngx_conf_full_name,65971,1.05,len
43,263989,1.08,ngx_http_finalize_request,261862,1.08,ngx_http_finalize_request,261562,1.08,ngx_http_finalize_request,65976,1.05,data
44,35454,1.06,ngx_pool_cleanup_add,35431,1.06,ngx_pool_cleanup_add,35419,1.06,ngx_pool_cleanup_add,35190,1.05,ngx_pool_cleanup_add
45,30801,1.04,ngx_open_cached_file,30794,1.04,ngx_open_cached_file,30782,1.04,ngx_open_cached_file,30553,1.04,ngx_open_cached_file
46,79969,0.98,ngx_event_flags,79787,0.98,ngx_event_flags,79789,0.99,ngx_event_flags,259987,0.95,ngx_http_core_module
47,266315,0.95,ngx_http_core_module,264188,0.95,ngx_http_core_module,263888,0.95,ngx_http_core_module,399979,0.91,ngx_strerror
48,410488,0.94,ngx_strerror,407625,0.94,ngx_strerror,407010,0.94,ngx_strerror,23794,0.9,ngx_list_push
