,Nginx-1.22.1,Nginx-1.22.1,Nginx-1.22.1,Nginx-1.21.1,Nginx-1.21.1,Nginx-1.21.1,Nginx-1.20.0,Nginx-1.20.0,Nginx-1.20.0,Nginx-1.19.0,Nginx-1.19.0,Nginx-1.19.0
,id,val,label,id,val,label,id,val,label,id,val,label
59,257321,2.08,ngx_http_perl_handle_request,83913,2.08,ngx_event_connect_peer,83915,2.09,ngx_event_connect_peer,412968,2.08,ngx_event_log
60,84100,2.08,ngx_event_connect_peer,255194,2.08,ngx_http_perl_handle_request,254999,2.08,ngx_http_perl_handle_request,251108,2.07,ngx_http_perl_handle_request
61,423438,2.07,ngx_event_log,420576,2.07,ngx_event_log,419954,2.07,ngx_event_log,83461,2.05,ngx_event_connect_peer
62,397130,2.06,ngx_mail_pop3_auth_state,394267,2.07,ngx_mail_pop3_auth_state,17205,2.07,ngx_add_path,16981,2.04,ngx_add_path
63,17212,2.06,ngx_add_path,17217,2.07,ngx_add_path,331801,2.06,ngx_http_variables_init_vars,200984,2.03,ngx_http_range_header_filter
64,357474,2.06,ngx_http_variables_init_vars,332277,2.06,ngx_http_variables_init_vars,473666,2.06,ngx_stream_variables_init_vars,327075,2.03,ngx_http_variables_init_vars
65,477460,2.06,ngx_stream_variables_init_vars,474416,2.06,ngx_stream_variables_init_vars,204136,2.04,ngx_http_range_header_filter,465976,2.02,ngx_stream_variables_init_vars
66,206350,2.04,ngx_http_range_header_filter,204243,2.04,ngx_http_range_header_filter,411836,2.04,ngx_spawn_process,404723,2.0,ngx_spawn_process
67,415313,2.03,ngx_spawn_process,412451,2.04,ngx_spawn_process,401150,2.02,ngx_mail_smtp_auth_state,15914,1.99,ngx_create_temp_file
68,404628,2.01,ngx_mail_smtp_auth_state,401765,2.02,ngx_mail_smtp_auth_state,83512,2.01,ngx_event_post_acceptex,83058,1.99,ngx_event_post_acceptex
69,83697,2.01,ngx_event_post_acceptex,83510,2.02,ngx_event_post_acceptex,16138,2.0,ngx_create_temp_file,84330,1.96,ngx_iocp_wait_events
70,16145,2.0,ngx_create_temp_file,16150,2.0,ngx_create_temp_file,84789,1.99,ngx_iocp_wait_events,14996,1.94,ngx_shared_memory_add
71,84974,1.98,ngx_iocp_wait_events,84787,1.99,ngx_iocp_wait_events,393721,1.97,ngx_mail_pop3_auth_state,893,1.94,ngx_set_environment
72,15225,1.94,ngx_shared_memory_add,15230,1.94,ngx_shared_memory_add,15218,1.94,ngx_shared_memory_add,24440,1.9,ngx_log_stderr
73,900,1.94,ngx_set_environment,900,1.94,ngx_set_environment,900,1.94,ngx_set_environment,9421,1.9,ngx_configure_listening_sockets
74,9510,1.91,ngx_configure_listening_sockets,9515,1.91,ngx_configure_listening_sockets,9503,1.92,ngx_configure_listening_sockets,61176,1.89,ngx_sprintf
75,24683,1.89,ngx_log_stderr,24676,1.89,ngx_log_stderr,24664,1.89,ngx_log_stderr,61203,1.89,ngx_snprintf
76,352238,1.89,ngx_http_get_variable_index,327060,1.89,ngx_http_get_variable_index,69537,1.89,ngx_time_update,61230,1.89,ngx_slprintf
77,475413,1.89,ngx_stream_get_variable_index,69535,1.89,ngx_time_update,326584,1.89,ngx_http_get_variable_index,69094,1.89,ngx_time_update
78,69717,1.89,ngx_time_update,472369,1.89,ngx_stream_get_variable_index,471619,1.89,ngx_stream_get_variable_index,321936,1.88,ngx_http_get_variable_index
79,24596,1.87,ngx_log_error,24589,1.88,ngx_log_error,24577,1.88,ngx_log_error,463929,1.88,ngx_stream_get_variable_index
80,89023,1.87,ngx_ssl_send_chain,61447,1.87,ngx_sprintf,61449,1.87,ngx_sprintf,24353,1.87,ngx_log_error
81,61683,1.87,ngx_slprintf,61474,1.87,ngx_snprintf,61476,1.87,ngx_snprintf,24382,1.86,ngx_log_debug_core
82,61656,1.87,ngx_snprintf,61501,1.87,ngx_slprintf,61503,1.87,ngx_slprintf,261062,1.86,ngx_http_core_content_phase
83,61629,1.87,ngx_sprintf,24618,1.86,ngx_log_debug_core,24606,1.87,ngx_log_debug_core,400210,1.83,ngx_file_aio_read
84,40373,1.87,ngx_regex_compile,265282,1.86,ngx_http_core_content_phase,264982,1.86,ngx_http_core_content_phase,263996,1.83,ngx_http_named_location
85,267409,1.86,ngx_http_core_content_phase,14907,1.86,ngx_reopen_files,14895,1.86,ngx_reopen_files,14673,1.83,ngx_reopen_files
86,24625,1.86,ngx_log_debug_core,407926,1.85,ngx_file_aio_read,407311,1.85,ngx_file_aio_read,257210,1.82,ngx_http_merge_types
87,14902,1.85,ngx_reopen_files,261392,1.84,ngx_http_merge_types,261092,1.84,ngx_http_merge_types,398959,1.8,ngx_daemon
88,263519,1.85,ngx_http_merge_types,268230,1.84,ngx_http_named_location,267930,1.84,ngx_http_named_location,400780,1.79,ngx_write_file
89,410789,1.84,ngx_file_aio_read,406603,1.81,ngx_daemon,405988,1.81,ngx_daemon,86619,1.75,ngx_ssl_preserve_passwords
90,270357,1.84,ngx_http_named_location,408496,1.8,ngx_write_file,407881,1.81,ngx_write_file,411058,1.74,ngx_thread_mutex_create
91,409466,1.81,ngx_daemon,87086,1.77,ngx_ssl_preserve_passwords,87088,1.76,ngx_ssl_preserve_passwords,394226,1.74,ngx_mail_smtp_auth_state
92,411359,1.8,ngx_write_file,418642,1.76,ngx_thread_mutex_create,418020,1.76,ngx_thread_mutex_create,270838,1.73,ngx_http_file_cache_init
93,87246,1.77,ngx_ssl_preserve_passwords,275068,1.75,ngx_http_file_cache_init,274769,1.75,ngx_http_file_cache_init,418837,1.72,service_main
94,421504,1.75,ngx_thread_mutex_create,426476,1.74,service_main,407782,1.74,ngx_read_file,400681,1.72,ngx_read_file
95,277199,1.74,ngx_http_file_cache_init,408397,1.74,ngx_read_file,425854,1.74,service_main,418942,1.71,service_handler
96,411260,1.73,ngx_read_file,40341,1.73,ngx_regex_compile,10749,1.73,ngx_connection_error,10600,1.71,ngx_connection_error
97,429338,1.73,service_main,88834,1.73,ngx_ssl_send_chain,425959,1.73,service_handler,40100,1.71,ngx_regex_compile
98,10756,1.72,ngx_connection_error,426581,1.73,service_handler,40329,1.73,ngx_regex_compile,35733,1.71,ngx_parse_time
99,429443,1.72,service_handler,10761,1.73,ngx_connection_error,88836,1.72,ngx_ssl_send_chain,398869,1.7,ngx_close_channel
