462,CALL,-1,,log4cxx::BasicConfigurator::configure(),2,STATIC_DISPATCH,,19,log4cxx.BasicConfigurator.configure,log4cxx.BasicConfigurator.configure,1,,,<empty>
463,CALL,0,,log4cxx::BasicConfigurator::configure,2,STATIC_DISPATCH,,19,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
464,CALL,1,,log4cxx::BasicConfigurator,2,STATIC_DISPATCH,,19,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
468,CALL,-1,,"LOG4CXX_INFO(logger, ""Entering application."")",2,STATIC_DISPATCH,,20,LOG4CXX_INFO,LOG4CXX_INFO,2,,,<empty>
471,CALL,-1,,foo(),2,STATIC_DISPATCH,,21,foo,foo,3,,,<empty>
472,CALL,-1,,"LOG4CXX_INFO(logger, ""Exiting application."")",2,STATIC_DISPATCH,,22,LOG4CXX_INFO,LOG4CXX_INFO,4,,,<empty>
493,CALL,-1,,result = EXIT_SUCCESS,6,STATIC_DISPATCH,,5,<operator>.assignment,<operator>.assignment,2,,,<empty>
499,CALL,-1,,"logger = com::foo::getLogger(""MyApp"")",8,STATIC_DISPATCH,,7,<operator>.assignment,<operator>.assignment,2,,,<empty>
501,CALL,2,,"com::foo::getLogger(""MyApp"")",17,STATIC_DISPATCH,,7,com.foo.getLogger,com.foo.getLogger,2,,,<empty>
502,CALL,0,,com::foo::getLogger,17,STATIC_DISPATCH,,7,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
503,CALL,1,,com::foo,17,STATIC_DISPATCH,,7,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
508,CALL,-1,,"LOG4CXX_INFO(logger, ""Entering application."")",3,STATIC_DISPATCH,,8,LOG4CXX_INFO,LOG4CXX_INFO,3,,,<empty>
512,CALL,-1,,bar.doIt(),3,STATIC_DISPATCH,,10,Bar.doIt,doIt,5,,,<empty>
513,CALL,0,,bar.doIt,3,STATIC_DISPATCH,,10,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
516,CALL,-1,,"LOG4CXX_INFO(logger, ""Exiting application."")",3,STATIC_DISPATCH,,11,LOG4CXX_INFO,LOG4CXX_INFO,6,,,<empty>
520,CALL,-1,,result = EXIT_FAILURE,3,STATIC_DISPATCH,,14,<operator>.assignment,<operator>.assignment,1,,,<empty>
535,CALL,2,,rootLogger = com::foo::getLogger(),6,STATIC_DISPATCH,,19,<operator>.assignment,<operator>.assignment,2,,,<empty>
537,CALL,2,,com::foo::getLogger(),19,STATIC_DISPATCH,,19,com.foo.getLogger,com.foo.getLogger,2,,,<empty>
538,CALL,0,,com::foo::getLogger,19,STATIC_DISPATCH,,19,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
539,CALL,1,,com::foo,19,STATIC_DISPATCH,,19,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
546,CALL,-1,,"LOG4CXX_DEBUG(rootLogger, ""static initializer message"")",3,STATIC_DISPATCH,,23,LOG4CXX_DEBUG,LOG4CXX_DEBUG,1,,,<empty>
554,CALL,-1,,"LOG4CXX_INFO(rootLogger, ""main function message"")",2,STATIC_DISPATCH,,28,LOG4CXX_INFO,LOG4CXX_INFO,1,,,<empty>
571,CALL,2,,"Bar::m_logger(getLogger(""com.foo.bar""))",11,STATIC_DISPATCH,,6,m_logger,m_logger,2,,,<empty>
572,CALL,1,,"getLogger(""com.foo.bar"")",25,STATIC_DISPATCH,,6,getLogger,getLogger,1,,,<empty>
576,CALL,-1,,"LOG4CXX_DEBUG(m_logger, QString(""Did it again!"") << QString("" - again!""))",2,STATIC_DISPATCH,,9,LOG4CXX_DEBUG,LOG4CXX_DEBUG,1,,,<empty>
578,CALL,2,,"QString(""Did it again!"") << QString("" - again!"")",26,STATIC_DISPATCH,,9,<operator>.shiftLeft,<operator>.shiftLeft,2,,,<empty>
579,CALL,1,,"QString(""Did it again!"")",26,STATIC_DISPATCH,,9,QString,QString,1,,,<empty>
581,CALL,2,,"QString("" - again!"")",54,STATIC_DISPATCH,,9,QString,QString,2,,,<empty>
593,CALL,2,,"Bar::m_logger(getLogger(""com.foo.bar""))",11,STATIC_DISPATCH,,5,m_logger,m_logger,2,,,<empty>
594,CALL,1,,"getLogger(""com.foo.bar"")",25,STATIC_DISPATCH,,5,getLogger,getLogger,1,,,<empty>
598,CALL,-1,,"LOG4CXX_DEBUG(m_logger, ""Did it again!"")",2,STATIC_DISPATCH,,8,LOG4CXX_DEBUG,LOG4CXX_DEBUG,1,,,<empty>
647,CALL,-1,,app{QCoreApplication::applicationFilePath()},12,STATIC_DISPATCH,,38,<operator>.assignment,<operator>.assignment,3,,,<empty>
649,CALL,2,,{QCoreApplication::applicationFilePath()},15,STATIC_DISPATCH,,38,<operator>.arrayInitializer,<operator>.arrayInitializer,2,,,<empty>
650,CALL,1,,QCoreApplication::applicationFilePath(),16,STATIC_DISPATCH,,38,QCoreApplication.applicationFilePath,QCoreApplication.applicationFilePath,1,,,<empty>
651,CALL,0,,QCoreApplication::applicationFilePath,16,STATIC_DISPATCH,,38,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
655,CALL,-1,,basename{app.baseName()},10,STATIC_DISPATCH,,39,<operator>.assignment,<operator>.assignment,5,,,<empty>
657,CALL,2,,{app.baseName()},18,STATIC_DISPATCH,,39,<operator>.arrayInitializer,<operator>.arrayInitializer,2,,,<empty>
658,CALL,1,,app.baseName(),19,STATIC_DISPATCH,,39,baseName,baseName,1,,,<empty>
659,CALL,0,,app.baseName,19,STATIC_DISPATCH,,39,<operator>.fieldAccess,<operator>.fieldAccess,1,,,<empty>
662,CALL,-1,,"QVector<QString> paths =
		{ QString(""."")
		, app.absoluteDir().absolutePath()
		}",2,STATIC_DISPATCH,,40,<operator>.assignment,<operator>.assignment,6,,,<empty>
663,CALL,1,,QVector<QString> paths,2,STATIC_DISPATCH,,40,<operator>.greaterThan,<operator>.greaterThan,1,,,<empty>
664,CALL,1,,QVector<QString,2,STATIC_DISPATCH,,40,<operator>.lessThan,<operator>.lessThan,1,,,<empty>
668,CALL,-1,,"QVector<QString> names =
		{ QString(basename + "".xml"")
		, QString(basename + "".properties"")
		, QString(""MyApp.properties"")
		, QString(""log4cxx.xml"")
		, QString(""log4cxx.properties"")
		, QString(""log4j.xml"")
		, QString(""log4j.properties"")
	}",2,STATIC_DISPATCH,,44,<operator>.assignment,<operator>.assignment,7,,,<empty>
669,CALL,1,,QVector<QString> names,2,STATIC_DISPATCH,,44,<operator>.greaterThan,<operator>.greaterThan,1,,,<empty>
670,CALL,1,,QVector<QString,2,STATIC_DISPATCH,,44,<operator>.lessThan,<operator>.lessThan,1,,,<empty>
675,CALL,-1,,status       = spi::ConfigurationStatus::NotConfigured,7,STATIC_DISPATCH,,56,<operator>.assignment,<operator>.assignment,9,,,<empty>
