2765,DEPENDENCY,log4cxx/logstring.hpp,log4cxx/logstring.hpp,include
2767,DEPENDENCY,log4cxx/helpers/appenderattachableimpl.hpp,log4cxx/helpers/appenderattachableimpl.hpp,include
2769,DEPENDENCY,log4cxx/appender.hpp,log4cxx/appender.hpp,include
2771,DEPENDENCY,log4cxx/spi/loggingevent.hpp,log4cxx/spi/loggingevent.hpp,include
2773,DEPENDENCY,algorithm,algorithm,include
2775,DEPENDENCY,log4cxx/helpers/pool.hpp,log4cxx/helpers/pool.hpp,include
2777,DEPENDENCY,mutex,mutex,include
3215,DEPENDENCY,log4cxx/spi/loggingevent.hpp,log4cxx/spi/loggingevent.hpp,include
3217,DEPENDENCY,log4cxx/appenderskeleton.hpp,log4cxx/appenderskeleton.hpp,include
3219,DEPENDENCY,log4cxx/helpers/loglog.hpp,log4cxx/helpers/loglog.hpp,include
3221,DEPENDENCY,log4cxx/helpers/onlyonceerrorhandler.hpp,log4cxx/helpers/onlyonceerrorhandler.hpp,include
3223,DEPENDENCY,log4cxx/level.hpp,log4cxx/level.hpp,include
3225,DEPENDENCY,log4cxx/helpers/stringhelper.hpp,log4cxx/helpers/stringhelper.hpp,include
3227,DEPENDENCY,log4cxx/private/appenderskeleton_priv.hpp,log4cxx/private/appenderskeleton_priv.hpp,include
3229,DEPENDENCY,mutex,mutex,include
3607,DEPENDENCY,log4cxx/private/aprdatagramsocket.hpp,log4cxx/private/aprdatagramsocket.hpp,include
3609,DEPENDENCY,log4cxx/private/datagramsocket_priv.hpp,log4cxx/private/datagramsocket_priv.hpp,include
3611,DEPENDENCY,log4cxx/helpers/transcoder.hpp,log4cxx/helpers/transcoder.hpp,include
3613,DEPENDENCY,apr_network_io.hpp,apr_network_io.hpp,include
4094,DEPENDENCY,log4cxx/logstring.hpp,log4cxx/logstring.hpp,include
4096,DEPENDENCY,log4cxx/helpers/aprinitializer.hpp,log4cxx/helpers/aprinitializer.hpp,include
4098,DEPENDENCY,apr_pools.hpp,apr_pools.hpp,include
4100,DEPENDENCY,assert.hpp,assert.hpp,include
4102,DEPENDENCY,log4cxx/helpers/threadspecificdata.hpp,log4cxx/helpers/threadspecificdata.hpp,include
4104,DEPENDENCY,apr_thread_proc.hpp,apr_thread_proc.hpp,include
4106,DEPENDENCY,log4cxx/helpers/filewatchdog.hpp,log4cxx/helpers/filewatchdog.hpp,include
4108,DEPENDENCY,log4cxx/helpers/date.hpp,log4cxx/helpers/date.hpp,include
4453,DEPENDENCY,log4cxx/private/aprserversocket.hpp,log4cxx/private/aprserversocket.hpp,include
4455,DEPENDENCY,log4cxx/private/serversocket_priv.hpp,log4cxx/private/serversocket_priv.hpp,include
4457,DEPENDENCY,log4cxx/private/aprsocket.hpp,log4cxx/private/aprsocket.hpp,include
4459,DEPENDENCY,apr_network_io.hpp,apr_network_io.hpp,include
4461,DEPENDENCY,apr_pools.hpp,apr_pools.hpp,include
4463,DEPENDENCY,apr_poll.hpp,apr_poll.hpp,include
4893,DEPENDENCY,log4cxx/private/aprsocket.hpp,log4cxx/private/aprsocket.hpp,include
4895,DEPENDENCY,log4cxx/private/socket_priv.hpp,log4cxx/private/socket_priv.hpp,include
