1849,LITERAL,4,,123,113,,79,4,,int
1851,LITERAL,-1,,0,9,,81,1,,int
1873,LITERAL,2,,"""""",23,,27,2,,char[1]
1893,LITERAL,1,,"""[outer]""",22,,34,1,,char[8]
1896,LITERAL,2,,"""info message""",34,,35,2,,char[13]
1900,LITERAL,1,,"""[inner]""",26,,37,1,,char[8]
1903,LITERAL,2,,"""debug message""",39,,38,2,,char[14]
1906,LITERAL,2,,"""warn message""",34,,40,2,,char[13]
1936,LITERAL,2,,"""""",23,,30,2,,char[1]
1958,LITERAL,1,,"""trivial context""",27,,37,2,,char[16]
1970,LITERAL,2,,"""debug message """,30,,40,2,,char[15]
1971,LITERAL,2,,1,50,,40,2,,int
1984,LITERAL,2,,"""info message""",30,,42,2,,char[13]
1994,LITERAL,2,,"""warn message""",50,,43,2,,char[13]
2004,LITERAL,2,,"""error message""",51,,44,2,,char[14]
2014,LITERAL,2,,"""fatal message""",51,,45,2,,char[14]
2150,LITERAL,2,,false,15,,73,2,,bool
2156,LITERAL,1,,""".xml""",23,,75,2,,char[5]
2174,LITERAL,2,,true,11,,77,2,,bool
2182,LITERAL,1,,""".properties""",29,,78,2,,char[12]
2304,LITERAL,2,,"""/""",33,,108,2,,char[2]
2312,LITERAL,1,,"""Checking file """,32,,111,1,,char[15]
2342,LITERAL,1,,"""Unable to load  """,37,,119,1,,char[17]
2344,LITERAL,2,,""": trying next""",73,,119,2,,char[14]
2541,LITERAL,2,,true,22,,59,2,,bool
2546,LITERAL,2,,true,25,,60,2,,bool
2567,LITERAL,2,,true,24,,70,2,,bool
2698,LITERAL,2,,true,18,,74,2,,bool
2803,LITERAL,2,,0,21,,52,2,,int
2864,LITERAL,2,,0,23,,71,2,,int
2915,LITERAL,-1,,0,10,,96,1,,int
2970,LITERAL,-1,,0,9,,113,1,,int
2979,LITERAL,2,,0,18,,118,2,,int
2982,LITERAL,-1,,false,10,,120,1,,bool
3089,LITERAL,2,,0,18,,147,2,,int
3286,LITERAL,2,,nullptr,28,,69,2,,ANY
3335,LITERAL,2,,nullptr,44,,83,2,,ANY
3345,LITERAL,2,,0,20,,88,2,,int
3394,LITERAL,1,,"""Attempted to append to closed appender named [""",42,,102,1,,char[47]
