5270,FIELD_IDENTIFIER,2,,i_format,i_format,13,147,2
5276,FIELD_IDENTIFIER,2,,filters,filters,39,148,2
5289,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,17,153,2
5290,FIELD_IDENTIFIER,2,,i_format,i_format,17,153,2
5297,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,13,155,2
5300,FIELD_IDENTIFIER,2,,input_format,input_format,35,155,2
5304,FIELD_IDENTIFIER,2,,filters_cfg,filters_cfg,13,156,2
5312,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,40,157,2
5316,FIELD_IDENTIFIER,2,,filters_cfg,filters_cfg,62,157,2
5322,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,17,158,2
5323,FIELD_IDENTIFIER,2,,i_format,i_format,17,158,2
5328,FIELD_IDENTIFIER,2,,volume,volume,36,159,2
5332,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,36,160,2
5333,FIELD_IDENTIFIER,2,,i_format,i_format,36,160,2
5351,FIELD_IDENTIFIER,2,,sync,sync,9,171,2
5352,FIELD_IDENTIFIER,2,,end,end,9,171,2
5358,FIELD_IDENTIFIER,2,,sync,sync,9,172,2
5359,FIELD_IDENTIFIER,2,,resamp_type,resamp_type,9,172,2
5365,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,13,174,2
5366,FIELD_IDENTIFIER,2,,i_format,i_format,13,174,2
5371,FIELD_IDENTIFIER,2,,filters,filters,13,176,2
5377,FIELD_IDENTIFIER,2,,input_format,input_format,54,176,2
5381,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,48,177,2
5385,FIELD_IDENTIFIER,2,,request_vout,request_vout,48,178,2
5389,FIELD_IDENTIFIER,2,,filters_cfg,filters_cfg,48,179,2
5394,FIELD_IDENTIFIER,2,,filters,filters,17,180,2
5403,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,17,183,2
5404,FIELD_IDENTIFIER,2,,i_format,i_format,17,183,2
5411,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,13,190,2
5412,FIELD_IDENTIFIER,2,,i_format,i_format,13,190,2
5432,FIELD_IDENTIFIER,2,,restart,restart,23,200,2
5452,FIELD_IDENTIFIER,2,,sync,sync,5,212,2
5453,FIELD_IDENTIFIER,2,,resamp_type,resamp_type,5,212,2
5458,FIELD_IDENTIFIER,2,,filters,filters,35,213,2
5478,FIELD_IDENTIFIER,2,,mixer_format,mixer_format,41,219,2
5486,FIELD_IDENTIFIER,2,,i_rate,i_rate,22,220,2
5498,FIELD_IDENTIFIER,2,,i_bytes_per_frame,i_bytes_per_frame,44,222,2
5501,FIELD_IDENTIFIER,2,,i_frame_length,i_frame_length,37,223,2
5516,FIELD_IDENTIFIER,2,,p_buffer,p_buffer,13,228,2
5520,FIELD_IDENTIFIER,2,,i_buffer,i_buffer,33,228,2
5524,FIELD_IDENTIFIER,2,,i_nb_samples,i_nb_samples,5,229,2
5529,FIELD_IDENTIFIER,2,,i_pts,i_pts,5,230,2
5534,FIELD_IDENTIFIER,2,,i_dts,i_dts,5,231,2
5539,FIELD_IDENTIFIER,2,,i_length,i_length,5,232,2
5578,FIELD_IDENTIFIER,2,,sync,sync,18,268,2
5579,FIELD_IDENTIFIER,2,,discontinuity,discontinuity,18,268,2
5601,FIELD_IDENTIFIER,2,,sync,sync,9,280,2
5602,FIELD_IDENTIFIER,2,,end,end,9,280,2
5608,FIELD_IDENTIFIER,2,,sync,sync,9,281,2
5609,FIELD_IDENTIFIER,2,,discontinuity,discontinuity,9,281,2
5632,FIELD_IDENTIFIER,2,,sync,sync,18,291,2
5633,FIELD_IDENTIFIER,2,,discontinuity,discontinuity,18,291,2
5656,FIELD_IDENTIFIER,2,,sync,sync,9,300,2
5657,FIELD_IDENTIFIER,2,,discontinuity,discontinuity,9,300,2
5667,FIELD_IDENTIFIER,2,,filters,filters,34,304,2
5680,FIELD_IDENTIFIER,2,,sync,sync,9,309,2
5681,FIELD_IDENTIFIER,2,,resamp_type,resamp_type,9,309,2
5689,FIELD_IDENTIFIER,2,,sync,sync,9,313,2
5690,FIELD_IDENTIFIER,2,,resamp_type,resamp_type,9,313,2
5696,FIELD_IDENTIFIER,2,,sync,sync,9,314,2
5697,FIELD_IDENTIFIER,2,,resamp_start_drift,resamp_start_drift,9,314,2
5710,FIELD_IDENTIFIER,2,,sync,sync,9,317,2
5711,FIELD_IDENTIFIER,2,,resamp_type,resamp_type,9,317,2
5719,FIELD_IDENTIFIER,2,,sync,sync,9,321,2
5720,FIELD_IDENTIFIER,2,,resamp_type,resamp_type,9,321,2
5726,FIELD_IDENTIFIER,2,,sync,sync,9,322,2
