5810,LOCAL,,aout_owner_t* owner,18,,359,owner,1,,aout_owner_t*
5854,LOCAL,,int ret,9,,369,ret,8,,int
5868,LOCAL,,const mtime_t now,19,,373,now,11,,mtime_t
5869,LOCAL,,const mtime_t advance,35,,373,advance,12,,mtime_t
6029,LOCAL,,aout_owner_t* owner,18,,426,owner,1,,aout_owner_t*
6059,LOCAL,,aout_owner_t* owner,18,,434,owner,1,,aout_owner_t*
6113,LOCAL,,aout_owner_t* owner,18,,451,owner,1,,aout_owner_t*
6137,LOCAL,,block_t* block,21,,459,block,1,,block_t*
6167,LOCAL,,aout_owner_t* owner,18,,473,owner,1,,aout_owner_t*
6243,LOCAL,,filter_t* filter,14,,51,filter,1,,filter_t*
6434,LOCAL,,unsigned i,19,,113,i,1,,unsigned
6444,LOCAL,,filter_t* p_filter,18,,115,p_filter,1,,filter_t*
6464,LOCAL,,audio_sample_format_t output,27,,125,output,1,,audio_sample_format_t
6483,LOCAL,,filter_t* filter,14,,131,filter,6,,filter_t*
6533,LOCAL,,audio_sample_format_t input,27,,160,input,4,,audio_sample_format_t
6538,LOCAL,,unsigned n,14,,161,n,6,,unsigned
6592,LOCAL,,filter_t* f,22,,179,f,2,,filter_t*
6622,LOCAL,,audio_sample_format_t output,31,,193,output,3,,audio_sample_format_t
6661,LOCAL,,const char* filter_type,20,,201,filter_type,10,,char*
6674,LOCAL,,config_chain_t* cfg,24,,205,cfg,12,,config_chain_t*
6685,LOCAL,,filter_t* f,18,,208,f,15,,filter_t*
6738,LOCAL,,audio_sample_format_t output,31,,230,output,2,,audio_sample_format_t
6749,LOCAL,,filter_t* f,18,,233,f,5,,filter_t*
6792,LOCAL,,filter_t* f,18,,251,f,2,,filter_t*
6855,LOCAL,,unsigned i,19,,281,i,1,,unsigned
6869,LOCAL,,filter_t* filter,18,,283,filter,1,,filter_t*
6891,LOCAL,,block_t* chain,13,,299,chain,1,,block_t*
6897,LOCAL,,unsigned i,19,,301,i,1,,unsigned
6907,LOCAL,,filter_t* filter,18,,303,filter,1,,filter_t*
6913,LOCAL,,block_t* block,17,,305,block,3,,block_t*
6968,LOCAL,,unsigned i,19,,330,i,1,,unsigned
6990,LOCAL,,unsigned i,19,,338,i,1,,unsigned
7027,LOCAL,,const char* mode,16,,361,mode,1,,char*
7099,LOCAL,,const aout_request_vout_t* req,31,,390,req,1,,aout_request_vout_t*
7107,LOCAL,,char* visual,10,,391,visual,3,,char*
7117,LOCAL,,bool recycle,10,,394,recycle,5,,bool
7146,LOCAL,,const unsigned max,20,,406,max,1,,unsigned
7174,LOCAL,,filter_t* filter,14,,413,filter,4,,filter_t*
7276,LOCAL,,char* name,10,,443,name,1,,char*
7277,LOCAL,,config_chain_t* cfg,20,,444,cfg,2,,config_chain_t*
7278,LOCAL,,ANY wg4_to_remap,26,,447,wg4_to_remap,3,,ANY
7291,LOCAL,,int[] remap,9,,448,remap,5,,int[]
7292,LOCAL,,bool needed,10,,449,needed,6,,bool
7298,LOCAL,,int i,14,,450,i,1,,int
7341,LOCAL,,char* str,10,,459,str,10,,char*
7342,LOCAL,,int ret,9,,460,ret,11,,int
7438,LOCAL,,aout_filters_t* filters,20,,506,filters,1,,aout_filters_t*
7477,LOCAL,,audio_sample_format_t input_format,27,,517,input_format,9,,audio_sample_format_t
7482,LOCAL,,audio_sample_format_t output_format,27,,518,output_format,11,,audio_sample_format_t
7634,LOCAL,,audio_sample_format_t input_phys_format,31,,574,input_phys_format,3,,audio_sample_format_t
7641,LOCAL,,filter_t* f,18,,577,f,6,,filter_t*
7748,LOCAL,,char* str,10,,609,str,22,,char*
7759,LOCAL,,char* p,14,,612,p,1,,char*
7760,LOCAL,,char* name,24,,612,name,2,,char*
7792,LOCAL,,char* visual,14,,623,visual,1,,char*
8024,LOCAL,,int nominal_rate,9,,701,nominal_rate,1,,int
8033,LOCAL,,filter_t* rate_filter,18,,705,rate_filter,1,,filter_t*
8153,LOCAL,,block_t* block,13,,740,block,1,,block_t*
8170,LOCAL,,block_t* chain,17,,744,chain,1,,block_t*
8306,LOCAL,,char[1] unset_str,19,,38,unset_str,1,,char[1]
8323,LOCAL,,aout_owner_t* owner,18,,51,owner,1,,aout_owner_t*
8354,LOCAL,,vlc_object_t* dst,18,,61,dst,1,,vlc_object_t*
8378,LOCAL,,vlc_object_t* dst,18,,70,dst,1,,vlc_object_t*
8455,LOCAL,,aout_owner_t* owner,18,,109,owner,1,,aout_owner_t*
8460,LOCAL,,aout_dev_t* dev,16,,110,dev,3,,aout_dev_t*
8461,LOCAL,,aout_dev_t** pp,22,,110,pp,4,,aout_dev_t**
8606,LOCAL,,aout_owner_t* owner,18,,157,owner,1,,aout_owner_t*
8659,LOCAL,,audio_output_t* aout,20,,177,aout,1,,audio_output_t*
8721,LOCAL,,vlc_value_t val,17,,199,val,1,,vlc_value_t
8722,LOCAL,,vlc_value_t text,22,,199,text,2,,vlc_value_t
8723,LOCAL,,audio_output_t* aout,20,,201,aout,3,,audio_output_t*
8743,LOCAL,,aout_owner_t* owner,18,,206,owner,6,,aout_owner_t*
8952,LOCAL,,module_config_t* cfg,21,,255,cfg,39,,module_config_t*
8953,LOCAL,,char* str,10,,256,str,40,,char*
9279,LOCAL,,unsigned i,23,,331,i,1,,unsigned
9340,LOCAL,,vlc_value_t txt,17,,344,txt,82,,vlc_value_t
9379,LOCAL,,aout_owner_t* owner,18,,361,owner,1,,aout_owner_t*
9462,LOCAL,,audio_output_t* aout,20,,386,aout,1,,audio_output_t*
9468,LOCAL,,aout_owner_t* owner,18,,387,owner,3,,aout_owner_t*
9482,LOCAL,,aout_dev_t* dev,21,,390,dev,1,,aout_dev_t*
9483,LOCAL,,aout_dev_t* next,45,,390,next,2,,aout_dev_t*
9552,LOCAL,,vlc_value_t val,17,,412,val,2,,vlc_value_t
9553,LOCAL,,vlc_value_t txt,22,,412,txt,3,,vlc_value_t
9554,LOCAL,,vlc_value_t default_val,27,,412,default_val,4,,vlc_value_t
9847,LOCAL,,size_t i,25,,496,i,1,,size_t
9909,LOCAL,,audio_channel_type_t input_chan_type,26,,522,input_chan_type,2,,audio_channel_type_t
