7946,LOCAL,,char* p,11,,1354,p,1,,char*
7950,LOCAL,,ngx_uint_t* np,22,,1356,np,3,,ngx_uint_t*
7951,LOCAL,,ngx_uint_t i,27,,1356,i,4,,ngx_uint_t
7952,LOCAL,,ngx_str_t* value,22,,1357,value,5,,ngx_str_t*
7953,LOCAL,,ngx_conf_enum_t* e,22,,1358,e,6,,ngx_conf_enum_t*
8061,LOCAL,,char* p,11,,1391,p,1,,char*
8065,LOCAL,,ngx_uint_t* np,25,,1393,np,3,,ngx_uint_t*
8066,LOCAL,,ngx_uint_t i,30,,1393,i,4,,ngx_uint_t
8067,LOCAL,,ngx_uint_t m,33,,1393,m,5,,ngx_uint_t
8068,LOCAL,,ngx_str_t* value,25,,1394,value,6,,ngx_str_t*
8069,LOCAL,,ngx_conf_bitmask_t* mask,25,,1395,mask,7,,ngx_conf_bitmask_t*
8218,LOCAL,,ngx_conf_deprecated_t* d,28,,1448,d,1,,ngx_conf_deprecated_t*
8242,LOCAL,,ngx_conf_num_bounds_t* bounds,28,,1462,bounds,1,,ngx_conf_num_bounds_t*
8246,LOCAL,,ngx_int_t* np,16,,1463,np,3,,ngx_int_t*
8347,LOCAL,,struct ngx_conf_file_t,3,,103,ngx_conf_file_t,4,,struct
8351,LOCAL,,struct ngx_conf_dump_t,3,,109,ngx_conf_dump_t,6,,struct
8381,LOCAL,,struct ngx_conf_post_t,3,,140,ngx_conf_post_t,11,,struct
8386,LOCAL,,struct ngx_conf_deprecated_t,3,,147,ngx_conf_deprecated_t,13,,struct
8391,LOCAL,,struct ngx_conf_num_bounds_t,3,,154,ngx_conf_num_bounds_t,15,,struct
8395,LOCAL,,struct ngx_conf_enum_t,3,,160,ngx_conf_enum_t,17,,struct
8399,LOCAL,,struct ngx_conf_bitmask_t,3,,168,ngx_conf_bitmask_t,19,,struct
8563,LOCAL,,ngx_os_io_t ngx_io,14,,13,ngx_io,1,,ngx_os_io_t
8574,LOCAL,,size_t len,23,,23,len,1,,size_t
8575,LOCAL,,ngx_listening_t* ls,22,,24,ls,2,,ngx_listening_t*
8576,LOCAL,,struct sockaddr* sa,22,,25,sa,3,,sockaddr*
8577,LOCAL,,u_char[] text,23,,26,text,4,,u_char[]
8747,LOCAL,,size_t len,32,,137,len,1,,size_t
8748,LOCAL,,ngx_uint_t i,32,,138,i,2,,ngx_uint_t
8749,LOCAL,,ngx_listening_t* ls,31,,139,ls,3,,ngx_listening_t*
8750,LOCAL,,socklen_t olen,32,,140,olen,4,,socklen_t
9146,LOCAL,,int reuseaddr,23,,409,reuseaddr,1,,int
9147,LOCAL,,ngx_uint_t i,23,,410,i,2,,ngx_uint_t
9148,LOCAL,,ngx_uint_t tries,26,,410,tries,3,,ngx_uint_t
9149,LOCAL,,ngx_uint_t failed,33,,410,failed,4,,ngx_uint_t
9150,LOCAL,,ngx_err_t err,23,,411,err,5,,ngx_err_t
9151,LOCAL,,ngx_log_t* log,22,,412,log,6,,ngx_log_t*
9152,LOCAL,,ngx_socket_t s,23,,413,s,7,,ngx_socket_t
9153,LOCAL,,ngx_listening_t* ls,22,,414,ls,8,,ngx_listening_t*
9506,LOCAL,,int value,32,,715,value,1,,int
9507,LOCAL,,ngx_uint_t i,32,,716,i,2,,ngx_uint_t
9508,LOCAL,,ngx_listening_t* ls,31,,717,ls,3,,ngx_listening_t*
9744,LOCAL,,ngx_uint_t i,24,,1023,i,1,,ngx_uint_t
9745,LOCAL,,ngx_listening_t* ls,23,,1024,ls,2,,ngx_listening_t*
9746,LOCAL,,ngx_connection_t* c,23,,1025,c,3,,ngx_connection_t*
9878,LOCAL,,ngx_uint_t instance,24,,1096,instance,1,,ngx_uint_t
9879,LOCAL,,ngx_event_t* rev,23,,1097,rev,2,,ngx_event_t*
9880,LOCAL,,ngx_event_t* wev,29,,1097,wev,3,,ngx_event_t*
9881,LOCAL,,ngx_connection_t* c,23,,1098,c,4,,ngx_connection_t*
10097,LOCAL,,ngx_err_t err,19,,1175,err,1,,ngx_err_t
10098,LOCAL,,ngx_uint_t log_error,19,,1176,log_error,2,,ngx_uint_t
10099,LOCAL,,ngx_uint_t level,30,,1176,level,3,,ngx_uint_t
10100,LOCAL,,ngx_socket_t fd,19,,1177,fd,4,,ngx_socket_t
10356,LOCAL,,ngx_uint_t i,24,,1294,i,1,,ngx_uint_t
10357,LOCAL,,ngx_uint_t n,27,,1294,n,2,,ngx_uint_t
10358,LOCAL,,ngx_queue_t* q,23,,1295,q,3,,ngx_queue_t*
10359,LOCAL,,ngx_connection_t* c,23,,1296,c,4,,ngx_connection_t*
10506,LOCAL,,ngx_uint_t i,24,,1351,i,1,,ngx_uint_t
10507,LOCAL,,ngx_connection_t* c,23,,1352,c,2,,ngx_connection_t*
10570,LOCAL,,socklen_t len,27,,1372,len,1,,socklen_t
10571,LOCAL,,ngx_uint_t addr,27,,1373,addr,2,,ngx_uint_t
10572,LOCAL,,ngx_sockaddr_t sa,27,,1374,sa,3,,ngx_sockaddr_t
10573,LOCAL,,struct sockaddr_in* sin,26,,1375,sin,4,,sockaddr_in*
