16849,RETURN,-1,,return b;,5,1309,8
16942,RETURN,-1,,return ret;,5,1332,10
17053,RETURN,-1,,return bumped;,5,1373,10
17100,RETURN,-1,,return total;,5,1386,7
17361,RETURN,-1,,return did_moves;,5,1457,18
18220,RETURN,-1,,return NULL;,5,1703,35
18251,RETURN,-1,,return -1;,9,1714,2
18259,RETURN,-1,,return 0;,5,1717,7
18298,RETURN,-1,,return -1;,9,1731,3
18304,RETURN,-1,,return 0;,5,1735,7
18330,RETURN,-1,,return 0;,5,1749,2
18433,RETURN,-1,,return;,5,1771,14
18533,RETURN,-1,,return;,5,1792,11
18607,RETURN,-1,,return NULL;,9,1812,3
18737,RETURN,-1,,return it->next;,5,1848,12
19043,RETURN,-1,,return p + 2;,5,75,2
19058,RETURN,-1,,return p + 1;,5,80,2
19096,RETURN,-1,,return n;,5,89,2
19203,RETURN,-1,,return p;,5,106,3
19294,RETURN,-1,,"return itoa( u, p, d, n );",5,116,5
19324,RETURN,-1,,"return itoa_u32(u, p);",5,125,4
19346,RETURN,1,,"return itoa_u32(lower, p);",21,132,1
19380,RETURN,-1,,"return itoa( lower, p, d, 9 );",5,139,11
19410,RETURN,-1,,"return itoa_u64(u, p);",5,148,4
20101,RETURN,-1,,return 0;,5,185,3
20109,RETURN,-1,,"return snprintf(scratch, LOGGER_PARSE_SCRATCH, ""ts=%d.%d gid=%llu %s\n"",
            (int)e->tv.tv_sec, (int)e->tv.tv_usec,
            (unsigned long long) e->gid, (char *) e->data);",5,196,1
20265,RETURN,-1,,return total;,5,220,14
20357,RETURN,-1,,return total;,5,236,9
20451,RETURN,-1,,return total;,5,251,7
20524,RETURN,-1,,return total;,5,284,10
20610,RETURN,-1,,return total;,5,303,12
20748,RETURN,-1,,return res;,5,440,5
20822,RETURN,-1,,return;,5,471,10
20899,RETURN,-1,,return;,5,515,9
20946,RETURN,-1,,return LOGGER_PARSE_ENTRY_FAILED;,9,528,1
20954,RETURN,-1,,return LOGGER_PARSE_ENTRY_OK;,5,533,8
21179,RETURN,-1,,return 0;,9,611,1
21292,RETURN,-1,,return size;,5,642,21
21414,RETURN,1,,return 0;,9,685,1
21430,RETURN,-1,,return -1;,9,692,2
21635,RETURN,-1,,return flushed;,5,749,16
21809,RETURN,-1,,return NULL;,5,814,4
21837,RETURN,-1,,return -1;,9,823,2
21840,RETURN,-1,,return 0;,5,825,4
21862,RETURN,-1,,return 0;,5,836,6
21885,RETURN,-1,,return;,5,860,5
21909,RETURN,-1,,return NULL;,9,874,1
21928,RETURN,-1,,return NULL;,9,880,2
21946,RETURN,-1,,return l;,5,890,10
22011,RETURN,-1,,return LOGGER_RET_NOSPACE;,9,912,3
22078,RETURN,-1,,return LOGGER_RET_ERR;,9,941,3
22092,RETURN,-1,,return LOGGER_RET_NOSPACE;,9,950,1
22096,RETURN,-1,,return LOGGER_RET_OK;,9,952,1
22123,RETURN,-1,,return LOGGER_ADD_WATCHER_TOO_MANY;,9,966,2
22162,RETURN,-1,,return LOGGER_ADD_WATCHER_FAILED;,9,977,2
22230,RETURN,-1,,return LOGGER_ADD_WATCHER_FAILED;,9,993,3
22254,RETURN,-1,,return LOGGER_ADD_WATCHER_OK;,5,1004,23
25311,RETURN,1,,return;,2,331,1
25374,RETURN,1,,return;,6,345,1
25811,RETURN,-1,,"return read(c->sfd, buf, count);",5,135,2
25829,RETURN,-1,,"return sendmsg(c->sfd, msg, flags);",5,140,2
25847,RETURN,-1,,"return write(c->sfd, buf, count);",5,145,2
25926,RETURN,1,,return 0;,23,180,1
25946,RETURN,1,,return (rel_time_t)1;,13,190,1
25950,RETURN,-1,,return (rel_time_t)(exptime - process_started);,9,191,2
25958,RETURN,-1,,return (rel_time_t)(exptime + current_time);,9,193,1
26556,RETURN,-1,,return NULL;,5,374,13
26570,RETURN,1,,return -1;,9,381,1
26593,RETURN,-1,,return -1;,9,388,2
26596,RETURN,-1,,return 0;,5,391,5
26607,RETURN,1,,return -1;,9,396,1
26633,RETURN,-1,,return 0;,5,402,7
26765,RETURN,-1,,return false;,13,429,4
26781,RETURN,-1,,return true;,5,434,2
26805,RETURN,1,,return false;,9,445,1
26843,RETURN,-1,,return true;,5,453,11
26943,RETURN,-1,,return rv;,5,513,4
26993,RETURN,-1,,return;,13,523,2
27066,RETURN,-1,,return;,13,547,1
27121,RETURN,-1,,return;,9,562,2
27196,RETURN,-1,,return;,5,582,10
27315,RETURN,-1,,return q;,13,610,1
27319,RETURN,-1,,return NULL;,5,614,4
27349,RETURN,-1,,return q;,13,621,1
27353,RETURN,-1,,return NULL;,5,625,4
27417,RETURN,-1,,return;,5,647,4
27470,RETURN,-1,,return NULL;,13,666,5
27536,RETURN,-1,,return NULL;,13,687,6
27982,RETURN,-1,,return NULL;,9,829,2
27994,RETURN,-1,,return c;,5,839,40
28307,RETURN,-1,,return;,5,960,16
28364,RETURN,-1,,return statenames[state];,5,992,3
28843,RETURN,-1,,return NULL;,13,1112,1
28845,RETURN,-1,,return resp;,5,1116,9
29119,RETURN,-1,,return false;,9,1171,4
29242,RETURN,-1,,return true;,5,1202,11
29376,RETURN,-1,,return next;,5,1234,12
29383,RETURN,-1,,return c->resp_head->next != NULL ? true : false;,5,1239,1
29440,RETURN,-1,,return;,9,1261,4
29500,RETURN,-1,,return;,5,1281,14
29920,RETURN,-1,,return rv;,5,1388,10
29940,RETURN,-1,,return;,9,1397,1
29969,RETURN,-1,,return;,13,1405,1
29992,RETURN,-1,,return;,13,1411,1
30359,RETURN,-1,,return -1;,21,1499,1
30512,RETURN,-1,,return -1;,21,1526,1
30519,RETURN,-1,,return 0;,5,1532,5
30568,RETURN,-1,,return -1;,17,1540,1
30761,RETURN,-1,,return -1;,17,1551,1
30920,RETURN,-1,,return 0;,5,1558,2
31650,RETURN,-1,,return stored;,5,1725,17
33699,RETURN,-1,,"return (zlength == nzlength) && (strncmp(nz, z, zlength) == 0) ? 0 : -1;",5,2002,3
33870,RETURN,-1,,return ret;,5,2035,4
34530,RETURN,-1,,return it;,5,2202,4
34580,RETURN,-1,,return it;,5,2220,4
34613,RETURN,-1,,return DELTA_ITEM_NOT_FOUND;,9,2246,1
34634,RETURN,-1,,return NON_NUMERIC;,9,2257,2
34669,RETURN,-1,,return DELTA_ITEM_CAS_MISMATCH;,9,2262,2
34717,RETURN,-1,,return NON_NUMERIC;,9,2269,2
35034,RETURN,-1,,return EOM;,13,2316,2
35174,RETURN,-1,,return DELTA_ITEM_NOT_FOUND;,9,2333,3
35212,RETURN,-1,,return OK;,5,2344,20
35299,RETURN,-1,,return c->try_read_command(c);,5,2367,7
35350,RETURN,-1,,return try_read_command_binary(c);,9,2377,2
35360,RETURN,-1,,return try_read_command_ascii(c);,9,2380,2
35470,RETURN,-1,,return READ_NO_DATA_RECEIVED;,13,2407,1
35497,RETURN,-1,,return READ_DATA_RECEIVED;,9,2416,12
35499,RETURN,-1,,return READ_NO_DATA_RECEIVED;,5,2418,6
35573,RETURN,-1,,return gotdata;,17,2449,1
35622,RETURN,-1,,return READ_MEMORY_ERROR;,17,2463,8
35726,RETURN,-1,,return READ_ERROR;,13,2486,2
35744,RETURN,-1,,return READ_ERROR;,13,2492,2
35746,RETURN,-1,,return gotdata;,5,2495,9
35773,RETURN,1,,return true;,9,2503,1
35785,RETURN,1,,return false;,37,2504,1
35822,RETURN,1,,return false;,40,2508,1
35824,RETURN,-1,,return true;,5,2509,10
36290,RETURN,-1,,return iovused;,5,2619,4
36480,RETURN,-1,,return TRANSMIT_COMPLETE;,9,2700,2
36538,RETURN,-1,,return TRANSMIT_INCOMPLETE;,13,2716,1
36542,RETURN,-1,,return TRANSMIT_COMPLETE;,13,2718,1
36579,RETURN,-1,,return TRANSMIT_HARD_ERROR;,13,2727,3
36581,RETURN,-1,,return TRANSMIT_SOFT_ERROR;,9,2729,2
36595,RETURN,-1,,return TRANSMIT_HARD_ERROR;,5,2737,17
36737,RETURN,-1,,return TRANSMIT_COMPLETE;,9,2795,1
36749,RETURN,-1,,return TRANSMIT_INCOMPLETE;,9,2800,2
36928,RETURN,-1,,return TRANSMIT_INCOMPLETE;,13,2855,1
36932,RETURN,-1,,return TRANSMIT_COMPLETE;,13,2857,1
36969,RETURN,-1,,return TRANSMIT_HARD_ERROR;,13,2866,3
36971,RETURN,-1,,return TRANSMIT_SOFT_ERROR;,9,2868,2
36985,RETURN,-1,,return TRANSMIT_HARD_ERROR;,5,2876,28
37306,RETURN,-1,,return total;,5,2960,7
38420,RETURN,-1,,return;,5,3389,14
38462,RETURN,-1,,return;,9,3405,3
38465,RETURN,-1,,return;,5,3411,7
38490,RETURN,-1,,return -1;,9,3419,1
38516,RETURN,-1,,return -1;,9,3426,3
38519,RETURN,-1,,return sfd;,5,3428,5
38560,RETURN,-1,,return;,9,3449,2
38726,RETURN,-1,,return 1;,9,3508,2
38896,RETURN,-1,,return 1;,17,3575,4
38929,RETURN,-1,,return 1;,17,3585,4
